fecha_extraccion,fuente,metodo,video_id,url_video,titulo_video,canal,codigo_http,estado_video,mensaje_error,comentarios_extraidos,comentarios_objetivo,estado,observacion
2026-06-17 16:38:01,YouTube,YouTube Data API v3,-ePoQCG_IVs,https://www.youtube.com/live/-ePoQCG_IVs?si=9DQZErg9rlkX5DEL,Se viene la dictadura #hildebrandt #keiko,Hildebrandt en sus trece,200,encontrado,,300,300,exitoso,Extracción de comentarios públicos mediante API oficial
2026-06-17 16:38:04,YouTube,YouTube Data API v3,Vo70i88M-Hg,https://www.youtube.com/live/Vo70i88M-Hg?si=dKh1ztNEC9j3ExoT,¡Gran fraude! #fraudismo #keiko #hildebrandt #segundavuelta,Hildebrandt en sus trece,200,encontrado,,300,300,exitoso,Extracción de comentarios públicos mediante API oficial
2026-06-17 16:38:06,YouTube,YouTube Data API v3,UgH5IjXGR8w,https://www.youtube.com/live/UgH5IjXGR8w?si=YUz2RxLXamCkp6xH,RAFAEL LÓPEZ ALIAGA VUELVE A LA MUNICIPALIDAD DE LIMA | #BRUTALIDADPOLÍTICA,El diario de Curwen,200,encontrado,,175,300,extraccion parcial,Extracción de comentarios públicos mediante API oficial
2026-06-17 16:38:09,YouTube,YouTube Data API v3,kzwAQuQxd3A,https://www.youtube.com/live/kzwAQuQxd3A?si=ThEPAJqlhDfbyqFW,JORGE NIETO EN BRUTALIDAD POLÍTICA | #BRUTALIDADPOLÍTICA,El diario de Curwen,200,encontrado,,300,300,exitoso,Extracción de comentarios públicos mediante API oficial
2026-06-17 16:38:12,YouTube,YouTube Data API v3,bY61pgGHcPw,https://www.youtube.com/live/bY61pgGHcPw?si=tNAM2FAPdCTFMMA2,JEE RECHAZA PEDIDO DE JP PARA ANULAR MESAS EN EL EXTRANJERO | SIN GUION CON ROSA MARÍA PALACIOS,La República - LR+,200,encontrado,,263,300,extraccion parcial,Extracción de comentarios públicos mediante API oficial
